pattern,Pearson correlations,Bivariate Moran I,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,threhsold1_max_agreement_area_coverage,threhsold2_max_agreement_area_coverage,lift_maxima,AUC_Agreement,AUC_Agreement_expected,CVT_correlation_maxima,CVT_correlation_maxima_t1,CVT_correlation_maxima_t2,CVT_correlation_value_coverage_maxima,CVT_correlation_AUC,ranks_corr,ranks_moran,ranks_maxima,ranks_AUC,ranks_maxima_corr,ranks_AUC_corr
PctEmpTrade_covid_death_density,0.014544289,-0.006401104,0.334897144,0.252345499,12,0.002874389,0.50500422,0.499689882,1.327137378,0.07650404,0.03888006,0.19778135,15,0.005567452,0.010943032,0.040569892,113,101,62,101,73,117
PctEmpTrade_PctEmpGovt,-0.184982816,-0.081171632,0.333843648,0.270365711,12,4,0.50500422,0.535373171,1.234785456,0.043499207,0.024640242,0.194836504,15,10,0.049565497,-0.048029396,32,49,61,53,72,49
PctEmpConstruction_medianHouseHoldIncome,-0.01867026,-0.017099231,0.481386571,0.360899858,5,44500,0.721941708,0.499901659,1.333850821,0.104158386,0.054438105,0.193809576,11,50387,0.016092694,0.017660957,95,90,164,143,71,93
PctEmpGovt_PctEmpManufacturing,-0.359599358,-0.289033907,0.25802657,0.263266972,4,6,0.535373171,0.491744798,0.980094722,0.015576909,0.019363617,0.191702492,8,14,0.019633087,-0.082198316,8,6,37,11,70,36
PctEmpInformation_PctEmpConstruction,-0.048894904,-0.007248698,0.45047645,0.316114583,1,5,0.437867185,0.721941708,1.425041659,0.074805916,0.038780481,0.190673398,3,5,0.017701963,0.063895941,77,98,155,98,69,129
PctEmpFIRE_PctEmpServices,0.268432714,0.134676701,0.476502229,0.299345992,3,39,0.603070783,0.496369581,1.591810955,0.1347502,0.03989916,0.190221119,7,49,0.017058256,-0.020255926,175,156,163,169,68,61
PctEmpConstruction_povertyRate,-0.080123662,-0.007442724,0.461370793,0.389497904,5,12,0.721941708,0.53951434,1.184527022,0.05831114,0.035461438,0.188857908,8,21,0.016092694,-0.039761785,66,97,159,78,67,53
PctEmpManufacturing_medianHouseHoldIncome,-0.106069232,-0.070071781,0.38380505,0.245824041,6,44500,0.491744798,0.499901659,1.5612999,0.074827233,0.03457811,0.184670634,22,55282,0.047956228,-0.119308845,60,53,102,99,66,17
PctEmpTrade_household_density_on_land_2010,-0.041539757,-0.020823888,0.560820984,0.252203265,12,4.3,0.50500422,0.499408232,2.223686452,0.100854939,0.025785291,0.183156989,16,77,0.014805278,-0.058921721,81,87,183,138,65,45
UnempRate2018_covid_death_density,0.238471455,0.146699732,0.384398027,0.186659286,4,0.002874389,0.373550261,0.499689882,2.059356572,0.160199341,0.037461181,0.183089306,4,0.006046297,0.047634374,0.044393605,173,164,103,180,64,120
povertyRate_medianHouseHoldIncome,-0.766341712,-0.49370998,0.195152248,0.269704114,12,44500,0.53951434,0.499901659,0.723579055,0.011883921,0.032730431,0.180625649,14,50802,0.010621178,-0.098454965,1,1,17,7,63,23
PctEmpInformation_PctEmpGovt,-0.061389611,-0.020631023,0.331820304,0.234422343,1,4,0.437867185,0.535373171,1.415480705,0.04074189,0.020044434,0.176753179,2,11,0.010299324,0.006270833,72,88,58,43,62,83
PctEmpInformation_PctEmpManufacturing,-0.156473236,-0.083326175,0.350335706,0.215318911,1,6,0.437867185,0.491744798,1.627054984,0.041758069,0.024632668,0.176010204,2,21,0.012874155,-0.027526488,41,48,79,45,61,60
medianHouseHoldIncome_population_density_on_land_2010,0.158001007,0.153695865,0.362942438,0.24962924,44500,10.1,0.499901659,0.499356694,1.453925981,0.151177543,0.027554203,0.172691206,44662,322,0.495654973,0.107575657,153,166,87,176,60,147
PctEmpTrans_covid_death_density,0.193649578,0.12354639,0.482105371,0.299640631,4,0.002874389,0.599653188,0.499689882,1.608945254,0.08740338,0.032856502,0.172501848,4,0.005047162,0.05889926,0.039131516,163,150,165,119,59,114
UnempRate2018_PctEmpAgriculture,-0.159365525,-0.169762323,0.241757301,0.181245406,4,2,0.373550261,0.48519684,1.333867195,0.070998789,0.0231178,0.171668055,4,19,0.137109752,-0.010988088,38,17,33,92,58,68
avg_precipitation_for_county_PctEmpManufacturing,0.400168123,0.39378999,0.628366573,0.186736312,3,7,0.413685622,0.45139667,3.364994016,0.171852346,0.035521441,0.165765097,4,12,0.129707113,0.030027912,182,186,185,185,57,106
UnempRate2018_PctEmpConstruction,0.009927174,-0.01526813,0.336508184,0.269681513,4,5,0.373550261,0.721941708,1.247798489,0.079200865,0.045932373,0.164939502,4,9,0.091728355,0.027161565,111,93,66,106,56,104
PctEmpConstruction_PctEmpAgriculture,-0.016607757,-0.025887337,0.435132391,0.350283835,5,2,0.721941708,0.48519684,1.242228009,0.06188328,0.029684876,0.161638412,10,7,0.011264886,0.031198998,96,80,140,83,55,107
PctEmpManufacturing_covid_cases_density,0.183107015,0.14262336,0.424067874,0.245537673,6,0.222850507,0.491744798,0.499319309,1.727099016,0.09376465,0.031585062,0.161446357,7,0.285225328,0.48213711,0.01254717,158,163,125,129,54,87
UnempRate2018_PctEmpGovt,0.217073568,0.150331219,0.404603699,0.199988788,4,4,0.373550261,0.535373171,2.023131918,0.119477456,0.023741027,0.160973255,5,13,0.0746701,0.027031229,167,165,116,162,53,103
PctEmpTrans_PctEmpAgriculture,0.047984411,0.033894099,0.393661461,0.290949832,4,2,0.599653188,0.48519684,1.353021787,0.060288422,0.020276191,0.155586916,6,9,0.051496621,-0.018642453,127,120,110,79,52,63
medianHouseHoldIncome_household_density_on_land_2010,0.144571737,0.129924262,0.36827447,0.249219959,44500,4.6,0.499901659,0.498537971,1.477708572,0.149804786,0.029444941,0.154788661,46851,32,0.483102671,0.100735473,151,154,92,175,51,146
avg_temp_for_county_covid_death_density,0.310930983,0.308142309,0.53852364,0.247291606,50,0.002874389,0.494890161,0.499689882,2.177686692,0.162730732,0.045612558,0.153491292,50,0.002935501,0.489861603,0.002251261,179,182,179,182,50,78
PctEmpInformation_PctEmpTrans,-0.07290211,-0.022589558,0.357398285,0.262568453,1,4,0.437867185,0.599653188,1.361162322,0.065070293,0.026488924,0.152980507,1,4,0.352429997,0.063013337,71,85,83,90,49,128
PctEmpFIRE_PctEmpAgriculture,-0.240859611,-0.104739825,0.33922166,0.292608038,3,2,0.603070783,0.48519684,1.15930397,0.041946912,0.025937612,0.150784192,5,14,0.017380109,-0.019739536,21,40,70,46,48,62
PctEmpTrans_PctEmpTrade,-0.014998343,-0.002601665,0.418930645,0.30282739,4,12,0.599653188,0.50500422,1.383397468,0.081331165,0.032562331,0.149826085,4,15,0.065658191,0.023143183,99,105,121,110,47,98
PctEmpManufacturing_povertyRate,-0.035899312,-0.037696369,0.366972808,0.26530337,6,12,0.491744798,0.53951434,1.383219549,0.044373479,0.022524471,0.148774838,10,26,0.018667525,-0.05785127,84,72,90,55,46,46
UnempRate2018_PctEmpManufacturing,-0.018723168,-0.029255697,0.296514746,0.183691398,4,6,0.373550261,0.491744798,1.614200501,0.047825246,0.029175422,0.140607904,6,11,0.03154168,-0.067594977,94,79,50,61,45,41
UnempRate2018_PctEmpInformation,-0.140305149,-0.077602857,0.288510272,0.163565401,4,1,0.373550261,0.437867185,1.763883257,0.061576162,0.030201218,0.138400809,4,3,0.133247506,0.012608004,46,50,47,82,44,88
PctEmpConstruction_PctEmpTrade,-0.057896045,-0.00691546,0.492713982,0.364583609,5,12,0.721941708,0.50500422,1.351443042,0.087861571,0.047672108,0.135556927,10,13,0.012552301,-0.002144582,74,99,168,120,43,73
PctEmpManufacturing_population_density_on_land_2010,-0.078864825,-0.04836127,0.638424961,0.245556057,6,10.1,0.491744798,0.499356694,2.599915348,0.08372163,0.018962288,0.133540266,21,94,0.012230447,-0.154492545,67,66,187,113,42,5
avg_precipitation_for_county_PctEmpConstruction,-0.025195894,-0.052268818,0.343995763,0.298656904,3,5,0.413685622,0.721941708,1.151809179,0.090066154,0.055923239,0.130874089,3,7,0.129063405,0.050155275,89,62,74,125,41,123
PctEmpTrans_PctEmpConstruction,0.081005082,-0.010784856,0.545492985,0.432914646,4,5,0.599653188,0.721941708,1.260047424,0.086017229,0.040286426,0.128860218,6,9,0.020920502,0.031956685,136,95,181,115,40,108
avg_precipitation_for_county_covid_death_density,0.087038862,0.092420878,0.357975557,0.20671452,3,0.002874389,0.413685622,0.499689882,1.731738812,0.127441198,0.045609457,0.124930367,5,0.005385061,0.016736402,0.011949293,138,143,85,167,39,85
PctEmpTrade_PctEmpManufacturing,0.0215903,0.07323924,0.462977138,0.248333198,12,6,0.50500422,0.491744798,1.864338483,0.076727476,0.03028047,0.121222439,15,17,0.013839717,-0.083573461,117,134,160,102,38,33
PctEmpInformation_covid_death_density,-0.202848263,-0.143293253,0.263271314,0.218797802,1,0.002874389,0.437867185,0.499689882,1.203263063,0.045363893,0.031628294,0.112989004,2,0.003224428,0.072738977,0.013018297,28,25,38,57,37,89
PctEmpAgriculture_covid_cases_density,-0.182573047,-0.058391931,0.277955225,0.242268151,2,0.222850507,0.48519684,0.499319309,1.147304025,0.042349716,0.025027132,0.111878517,8,0.317729931,0.014161571,-0.084694141,33,59,42,47,36,30
UnempRate2018_household_density_on_land_2010,-0.023647892,-0.010622464,0.340518007,0.186228989,4,4.6,0.373550261,0.498537971,1.828490874,0.049576168,0.024844289,0.106770628,6,21,0.017701963,-0.03103871,91,96,72,66,35,56
avg_precipitation_for_county_PctEmpInformation,-0.016415854,-0.01608137,0.281001744,0.181139359,3,1,0.413685622,0.437867185,1.551301419,0.060485956,0.036770361,0.106560805,4,3,0.094303186,0.026693749,97,92,44,81,34,101
avg_precipitation_for_county_PctEmpTrans,-0.010784949,-0.001881324,0.335953056,0.248067902,3,4,0.413685622,0.599653188,1.35427862,0.060319018,0.038198248,0.106428658,5,4,0.060830383,0.043543824,100,106,65,80,33,118
UnempRate2018_PctEmpTrans,0.092289714,0.039200944,0.338841835,0.224000604,4,4,0.373550261,0.599653188,1.512682683,0.073423661,0.031374009,0.101931017,5,6,0.083038301,-0.015377665,140,124,69,95,32,65
PctEmpMining_population_density_on_land_2010,-0.049683668,-0.04024044,0.094358278,0.098061702,2,10.1,0.196376065,0.499356694,0.962233737,0.003970652,0.007788128,0.098224423,3,386,0.011264886,-0.063450064,76,70,4,3,31,44
PctEmpManufacturing_household_density_on_land_2010,-0.073291094,-0.044168731,0.638276769,0.245581401,6,4.3,0.491744798,0.499408232,2.599043607,0.0891359,0.020263458,0.096485024,21,108,0.045381397,-0.151238119,69,67,186,121,30,7
avg_precipitation_for_county_bachelor_degree_density_2014_2018,-0.107401753,-0.115373039,0.237710727,0.214167325,3,16,0.413685622,0.517705507,1.109929944,0.054570512,0.031303363,0.096248919,5,27,0.017058256,-0.083306855,59,35,31,73,29,34
PctEmpMining_PctEmpManufacturing,-0.292851117,-0.270415216,0.078971871,0.096566908,2,6,0.196376065,0.491744798,0.817794344,0.003305291,0.009773418,0.095993997,3,18,0.016736402,-0.167643012,15,8,2,1,28,3
PctEmpTrade_population_density_on_land_2010,-0.040955469,-0.023205875,0.535189648,0.252177238,12,10.1,0.50500422,0.499356694,2.122275795,0.097512721,0.02412955,0.092624705,17,26.9,0.022207918,-0.065974429,82,84,177,137,27,42
PctEmpGovt_PctEmpAgriculture,0.011876307,0.012668842,0.362043575,0.259761371,4,2,0.535373171,0.48519684,1.39375448,0.064944843,0.015343197,0.090908856,6,20,0.137431606,-0.084109114,112,109,86,88,26,31
UnempRate2018_medianHouseHoldIncome,-0.421447511,-0.280304191,0.188689921,0.162591553,4,46377,0.373550261,0.435260178,1.160514911,0.04273595,0.042394963,0.089604519,5,60521,0.016092694,-0.083787364,6,7,15,49,25,32
UnempRate2018_population_density_on_land_2010,-0.025292395,-0.014890762,0.332029429,0.186534823,4,10.1,0.373550261,0.499356694,1.779986296,0.049251879,0.023248972,0.087792897,4,393,0.033794657,-0.04704039,88,94,59,65,24,50
UnempRate2018_bachelor_degree_density_2014_2018,-0.343464459,-0.191809023,0.226354568,0.193389027,4,16,0.373550261,0.517705507,1.170462311,0.036535862,0.025710917,0.086101128,5,25,0.030576118,-0.138475782,11,16,26,34,23,10
avg_temp_for_county_medianHouseHoldIncome,-0.238240024,-0.242463189,0.231033807,0.247396413,50,44500,0.494890161,0.499901659,0.933860779,0.057944781,0.051619908,0.085432382,66,51391,0.020920502,-0.135459379,22,10,28,77,22,12
PctEmpServices_PctEmpManufacturing,-0.357314675,-0.149139459,0.352474036,0.244087159,39,6,0.496369581,0.491744798,1.44404989,0.02795901,0.029004625,0.083600782,44,6,0.013196009,-0.254541758,9,22,80,27,21,1
UnempRate2018_avg_precipitation_for_county,0.182573449,0.190345676,0.272003634,0.154532372,4,3,0.373550261,0.413685622,1.760172517,0.105382942,0.043551547,0.081360719,4,3,0.387833923,-0.007479632,157,175,39,147,20,70
PctEmpConstruction_PctEmpServices,-0.173411787,0.030314606,0.475280941,0.358349903,5,39,0.721941708,0.496369581,1.32630409,0.090031708,0.045663478,0.080379354,9,53,0.013517863,-0.086401054,35,119,161,124,19,28
PctEmpMining_household_density_on_land_2010,-0.045420442,-0.036655881,0.08533524,0.090608792,2,6.1,0.196376065,0.461404457,0.941798679,0.003912771,0.00832254,0.077241856,4,11.1,0.010943032,-0.07019366,78,73,3,2,18,40
PctEmpConstruction_PctEmpManufacturing,-0.158306495,-0.12987934,0.427509608,0.355011079,5,6,0.721941708,0.491744798,1.204214834,0.051994272,0.037463287,0.071772086,9,13,0.011264886,-0.111343933,39,29,131,69,17,19
PctEmpTrans_PctEmpManufacturing,-0.053903725,-0.039775452,0.419496511,0.294876336,4,6,0.599653188,0.491744798,1.422618434,0.04421157,0.025589217,0.07061747,8,24,0.010621178,-0.106803515,75,71,122,54,16,21
PctEmpAgriculture_PctEmpServices,-0.500931001,-0.234420898,0.23290539,0.240836952,2,39,0.48519684,0.496369581,0.967066674,0.017908554,0.022982465,0.068021732,3,51,0.020276794,-0.138035734,4,12,29,14,15,11
avg_precipitation_for_county_PctEmpTrade,0.158391382,0.161227443,0.4416077,0.208912985,3,12,0.413685622,0.50500422,2.113835577,0.117579224,0.045201105,0.063539061,4,14,0.079176054,-0.012851784,154,171,149,159,14,66
PctEmpManufacturing_covid_death_density,0.13842582,0.075068456,0.371548932,0.2457199,6,0.002874389,0.491744798,0.499689882,1.512083195,0.075520576,0.030554027,0.054756247,11,0.004872738,0.020598648,-0.074171568,149,138,96,100,13,38
avg_precipitation_for_county_population_density_on_land_2010,0.04112671,0.04176583,0.712249491,0.206576684,3,10.1,0.413685622,0.499356694,3.447869701,0.127104858,0.028305914,0.048771982,3,237,0.092372063,-0.038367383,125,127,188,166,12,54
PctEmpTrade_bachelor_degree_density_2014_2018,-0.02590281,-0.029810956,0.391331325,0.261443466,12,16,0.50500422,0.517705507,1.496810498,0.069194024,0.026684744,0.044834949,14,36,0.02156421,-0.132885317,87,78,108,91,11,13
PctEmpTrade_PctEmpAgriculture,-0.273250417,-0.101741176,0.279728223,0.245026452,12,2,0.50500422,0.48519684,1.141624592,0.038323699,0.02399341,0.04437,14,11,0.01577084,-0.082559616,17,42,43,40,10,35
avg_precipitation_for_county_household_density_on_land_2010,0.03907543,0.039578123,0.720248755,0.206598005,3,4.3,0.413685622,0.499408232,3.486232863,0.137340636,0.030248233,0.042386992,3,112,0.08464757,-0.038333123,122,125,189,172,9,55
avg_precipitation_for_county_PctEmpAgriculture,-0.406503878,-0.382361954,0.20961238,0.200718956,3,2,0.413685622,0.48519684,1.044307843,0.015365989,0.028146211,0.040894873,4,7,0.013517863,-0.092142285,7,2,20,10,8,25
avg_precipitation_for_county_medianHouseHoldIncome,-0.143810447,-0.148048695,0.27466941,0.206802129,3,44500,0.413685622,0.499901659,1.328174965,0.071227461,0.051616398,0.032254889,4,72385,0.026070164,-0.088783596,44,23,41,93,7,27
PctEmpFIRE_PctEmpConstruction,-0.073149403,-0.002821145,0.571519763,0.435381951,3,5,0.603070783,0.721941708,1.312685935,0.092666978,0.051535012,0.031158142,7,5,0.011908593,-0.043985583,70,104,184,127,6,52
PctEmpInformation_PctEmpMining,-0.113061487,-0.08522968,0.13401074,0.085986635,1,2,0.437867185,0.196376065,1.558506628,0.021481044,0.010117047,0.025320879,1,14,0.024782749,-0.101365487,56,47,7,17,5,22
PctEmpMining_PctEmpAgriculture,0.030720051,0.055627163,0.192346575,0.095281046,2,2,0.196376065,0.48519684,2.018728621,0.023831491,0.007744187,-0.015857013,6,18,0.010943032,-0.14358208,121,131,16,21,4,8
avg_precipitation_for_county_PctEmpMining,-0.249731931,-0.235520316,0.074073422,0.041110776,4,2,0.209347183,0.196376065,1.801800636,0.009775633,0.014589248,-0.018440309,3,5,0.040231735,-0.106870253,20,11,1,6,3,20
PctEmpMining_bachelor_degree_density_2014_2018,-0.185129895,-0.117522111,0.155172438,0.10166497,2,16,0.196376065,0.517705507,1.526311748,0.015607609,0.00861285,-0.030551812,4,25,0.014483425,-0.171062344,31,34,10,12,2,2
avg_precipitation_for_county_PctEmpFIRE,0.055158376,0.04132447,0.406785718,0.249481712,3,3,0.413685622,0.603070783,1.630523196,0.100938353,0.048863782,-0.065624228,4,7,0.126488574,-0.131190878,129,126,117,139,1,15
