pattern,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,max_difference,max_difference_agreemnt,max_difference_expected,threhsold1_max_diffrence,threhsold2_max_diffrence,min_difference,min_difference_agreemnt,min_difference_expected,threhsold1_min_diffrence,threhsold2_min_diffrence,max_lift
povertyRate_bachelor_degree_density_2014_2018,0.252305199,0.279309545,12,16,0.016340408,0.020369204,0.004028796,18,35,-0.052667694,0.111868052,0.164535746,15,16,5.31860916
PctEmpMining_medianHouseHoldIncome,0.246419513,0.000633754,17,67525,0.245785759,0.246419513,0.000633754,17,67525,0.007823729,0.012753164,0.004929435,18,46169,619.5599198
PctEmpTrans_PctEmpMining,0.243772482,0.117757533,4,2,0.174913633,0.231695794,0.05678216,5,2,0.005394743,0.005699758,0.000305015,9,17,136.3808685
UnempRate2018_PctEmpAgriculture,0.241757301,0.181245406,4,2,0.111755023,0.118830307,0.007075284,6,8,-0.001286693,0,0.001286693,6,20,32.47092538
PctEmpInformation_avg_temp_for_county,0.2408645,0.216696162,1,50,0.024168339,0.2408645,0.216696162,1,50,-0.000691235,0,0.000691235,3,65,5.893081702
avg_precipitation_for_county_bachelor_degree_density_2014_2018,0.237710727,0.214167325,3,16,0.063847955,0.08525022,0.021402264,4,26,-0.012873139,0.022216436,0.035089575,5,16,4.987474566
avg_precipitation_for_county_PctEmpGovt,0.233937806,0.221476183,3,4,0.023975657,0.136054522,0.112078865,4,4,-0.007497986,0.011102149,0.018600136,3,10,2.111422762
PctEmpAgriculture_PctEmpServices,0.23290539,0.240836952,2,39,0.00906625,0.054465327,0.045399077,2,49,-0.025822412,0.087391988,0.1132144,4,41,1.376255487
avg_temp_for_county_medianHouseHoldIncome,0.231033807,0.247396413,50,44500,0.042752742,0.064257767,0.021505026,63,56346,-0.04276015,0.139639354,0.182399505,52,46560,19.23423226
bachelor_degree_density_2014_2018_covid_death_density,0.230234036,0.258692204,16,0.002874389,0.012101553,0.035832793,0.02373124,20,0.004872738,-0.039807103,0.147581947,0.18738905,16,0.003364295,2.092344021
UnempRate2018_bachelor_degree_density_2014_2018,0.226354568,0.193389027,4,16,0.05627642,0.16940608,0.11312966,4,19,-0.004360019,0.001726569,0.006086588,4,36,5.440837971
medianHouseHoldIncome_covid_death_density,0.217113893,0.249795801,44500,0.002874389,0.00609725,0.052997691,0.046900442,46169,0.00442083,-0.052647214,0.079233654,0.131880868,47907,0.003364295,1.1300041
PctEmpGovt_PctEmpMining,0.215636223,0.105134476,4,2,0.124270067,0.17380153,0.049531464,5,3,0.002440609,0.006554969,0.00411436,6,16,415.6449476
PctEmpAgriculture_household_density_on_land_2010,0.214295782,0.242311296,2,4.3,0.003751725,0.016620119,0.012868394,11,29,-0.071562057,0.054742135,0.126304192,3,11.6,1.291545694
PctEmpConstruction_PctEmpMining,0.21165473,0.141772071,5,2,0.158564664,0.206791054,0.04822639,7,2,-0.000846397,0.00611982,0.006966216,6,18,46.71215079
avg_temp_for_county_PctEmpAgriculture,0.210776409,0.240119142,50,2,0.015806352,0.019436147,0.003629795,70,8,-0.035343082,0.172302116,0.207645198,52,2,6.119728132
avg_precipitation_for_county_PctEmpAgriculture,0.20961238,0.200718956,3,2,0.012769128,0.045655297,0.032886169,5,2,-0.043468127,0.041995177,0.085463304,3,6,1.388282625
PctEmpMining_covid_death_density,0.209009755,0.053973344,2,0.003739146,0.155036411,0.209009755,0.053973344,2,0.003739146,-0.004000618,0.00251372,0.006514339,14,0.003602393,25.40026447
PctEmpAgriculture_population_density_on_land_2010,0.207074123,0.24228629,2,10.1,0.011069378,0.020167419,0.009098041,11,91,-0.071170028,0.056120546,0.127290574,3,24,2.216677007
povertyRate_medianHouseHoldIncome,0.195152248,0.269704114,12,44500,-0.00014071,0,0.00014071,31,72385,-0.088948967,0.088749607,0.177698573,14,45226,0.723579055
PctEmpMining_PctEmpAgriculture,0.192346575,0.095281046,2,2,0.116369472,0.189545206,0.073175733,2,3,-0.001672069,0,0.001672069,10,18,22.44042256
UnempRate2018_medianHouseHoldIncome,0.188689921,0.162591553,4,46377,0.03212609,0.168229628,0.136103538,4,47907,-0.015310449,0.025320034,0.040630483,5,50210,3.607727629
avg_temp_for_county_bachelor_degree_density_2014_2018,0.187229527,0.256207362,50,16,0.046867899,0.049887875,0.003019976,67,31,-0.068977835,0.187229527,0.256207362,50,16,36.82947757
PctEmpMining_avg_temp_for_county,0.183706232,0.069417428,2,55,0.131439212,0.173677406,0.042238194,2,61,-0.002318714,0.004710697,0.00702941,18,50,36.34821343
PctEmpMining_povertyRate,0.175619149,0.105947703,2,12,0.091517809,0.153929512,0.062411703,2,15,-0.004395383,0,0.004395383,15,17,17.02894664
PctEmpMining_covid_cases_density,0.174075338,0.094436815,2,0.224519137,0.098733637,0.129285311,0.030551674,3,0.257992384,-0.005199458,0.00071924,0.005918698,18,0.23167481,40.83195104
PctEmpMining_bachelor_degree_density_2014_2018,0.155172438,0.10166497,2,16,0.05910399,0.145590856,0.086486867,2,17,-0.005387729,0,0.005387729,7,28,4.230006091
UnempRate2018_PctEmpMining,0.145437924,0.07335633,4,2,0.072081594,0.145437924,0.07335633,4,2,-0.00314519,0,0.00314519,5,15,5.31218133
PctEmpFIRE_PctEmpMining,0.141726111,0.118428667,3,2,0.0356187,0.060394112,0.024775412,5,2,-0.006277864,0,0.006277864,5,9,3.42376568
PctEmpInformation_PctEmpMining,0.13401074,0.085986635,1,2,0.048024105,0.13401074,0.085986635,1,2,-0.000649065,0,0.000649065,2,17,10.00742521
PctEmpMining_PctEmpServices,0.122360851,0.097475105,2,39,0.028870502,0.07232067,0.043450169,2,45,-0.012939575,0.002463323,0.015402898,11,40,11.3332792
PctEmpTrade_PctEmpMining,0.120337749,0.099170741,12,2,0.042936314,0.053795968,0.010859653,15,4,-0.00349133,0.003681741,0.00717307,12,18,15.42033971
PctEmpMining_population_density_on_land_2010,0.094358278,0.098061702,2,10.1,0.001158462,0.002513595,0.001355133,14,148,-0.026422774,0.041570791,0.067993565,3,11.3,1.854869233
PctEmpMining_household_density_on_land_2010,0.08533524,0.090608792,2,6.1,0.000932906,0.002390833,0.001457928,14,59,-0.027914831,0.026391349,0.05430618,4,5.1,1.639884781
PctEmpMining_PctEmpManufacturing,0.078971871,0.096566908,2,6,0.000518522,0.001641489,0.001122967,5,24,-0.029332989,0.017076863,0.046409853,5,7,1.461742371
avg_precipitation_for_county_PctEmpMining,0.074073422,0.041110776,4,2,0.032962646,0.074073422,0.041110776,4,2,-0.022905607,0.027052346,0.049957953,3,4,1.996806023
